Ligne (ID);Ligne (nom court);Date de début de validité;Résolution;Image
0151;151ex;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4a059b2d8b1efc431c3b470acfcfd2db
0154;154ex;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7bd7b4d089ab64a269a2c55df0217218
0205;205;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1eef7e3dc7ff9f8d67d15cc664ae9e15
0212;212;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8229a7fab8e13168c7ffbdd784e80bef
0218;218;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/c03efabcccee9f9ec6dbe174fe0a32ce
0222;222;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/104184a9e9bc163a43c8cb30529aae40
0223;223;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ceed47ee17d3327e5e296824d810087a
0226;226;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9445d6c8f4d297f56977b0ca4f2e03ba
0229;229;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b835c3877fda132cf88030ba4b2712e8
0233;233;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7da2f3c16c3b38d9033528de2022f276
0236;236;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/360ef3764e51679b445b17b14de678a3
