Ligne (nom court),Libellé long,Point d'arrêt de départ (nom)
Ts75,Saint-Grégoire (Jean-Paul II) -> La Chapelle-Chaussée (Chapelle-Chaussée),Jean-Paul II
API,Rennes (République) -> Rennes (Etangs d'Apigné),République Pré Botté
TTZ,Noyal-Châtillon-sur-Seiche (Touche Tizon) -> Rennes (Henri Fréville),Touche Tizon
Ts32,Mordelles (Collège St-Yves) -> La Chapelle-Thouarault (Pont Harel),Saint-Yves
Ts33,Le Rheu (Lycée Monod) -> Mordelles (Collège St-Yves),Lycée Monod
Ts37,Mordelles (Collège St-Yves) -> La Chapelle-Thouarault (Eglise),Saint-Yves
Ts41,Pacé (Centre scolaire Pacé) -> La Chapelle-des-Fougeretz (Chêne aux dames),Centre scolaire Pacé
242,Romillé (Romillé Collège) -> La Chapelle-Chaussée -> Bécherel -> Miniac-sous-Bécherel (Miniac Eglise),Romillé Collège
244,Chartres-de-Bretagne (Collège Pôle Sud) -> Pont-Péan (Bois Esnault),Collège Pôle Sud
Ts2,Saint-Erblon (Douazel) -> Bruz (Aire du 8 Mai),Douazel
Ts6,Laillé (Bossardière) -> Bruz (Aire du 8 Mai),Bossardière
Ts11,Bruz (Anita Conti) -> Laillé (Château d'Eau),Anita Conti
C1,Cesson-Sévigné (Champs Blancs) -> Rennes -> Chantepie (Rosa Parks),Champs Blancs
C1,Rennes (Gares) -> Cesson-Sévigné (Champs Blancs),Gares
C1,Chantepie (Rosa Parks) -> Rennes -> Cesson-Sévigné (Champs Blancs),Rosa Parks
C2,Rennes (Haut Sancé) -> Saint-Grégoire (Champ Daguet),Haut Sancé
C4,Rennes (Plaine de Baud) -> Saint-Grégoire (Grand Quartier),Plaine de Baud
53,Rennes (République) -> Vezin-le-Coquet -> L'Hermitage -> La Chapelle-Thouarault -> Cintré -> Le Verger (Le Verger Eglise),République Pré Botté
53,La Chapelle-Thouarault (Ville aux Archers) -> L'Hermitage -> Vezin-le-Coquet -> Rennes (République) via CAT La Hautière,Ville aux Archers
54,Cintré (Chêne Vert) -> Le Rheu (L'Autre Lieu),Chêne Vert
34,Chantepie (Rosa Parks) -> Cesson-Sévigné -> Rennes (ZA Saint-Sulpice),Rosa Parks
35,Cesson-Sévigné (Cesson Gare) -> Cesson-Sévigné (Champs Blancs),Cesson Gare
36,Saint-Grégoire (Edonia) -> Rennes (Place Hoche),Edonia
37,Saint-Jacques-de-la-Lande (Morinais) -> Rennes (Henri Fréville),Morinais
50,Rennes (République) -> Thorigné-Fouillard (Landelles),République
51,Betton (Champ Devant) -> Rennes (Place Hoche),Champ Devant
51,Rennes (Place Hoche) -> Betton (Champ Devant),Hoche
52,La Chapelle-des-Fougeretz (Besneraie) -> Montgermont -> Rennes -> Pacé -> Saint-Gilles (Ile des Bois),Besneraie
52,Gévezé (Cheval Blanc) ->  La Chapelle-des-Fougeretz -> Montgermont -> Rennes (Villejean-Université),Cheval Blanc
52,Rennes (Villejean-Université) -> Montgermont -> La Chapelle-des-Fougeretz -> Gévezé (Cheval Blanc),Villejean-Université
52,Saint-Gilles (Ile des Bois) -> Pacé -> Rennes -> Montgermont -> La Chapelle-des-Fougeretz (Besneraie) via Quatre Vents,Ile des Bois
C4,Rennes (ZA Saint-Sulpice) -> Rennes (République),ZA Saint-Sulpice
11,Rennes (La Poterie) -> Rennes (Stade Rennais),La Poterie
11,Vezin-le-Coquet (ZI Ouest) -> Rennes (Saint-Saëns),ZI Ouest
13,Chantepie (Cucé) -> Rennes -> Saint-Jacques-de-la-Lande (Gautrais),Cucé
13,Rennes (Cleunay) -> Chantepie (Cucé),Cleunay
31,Rennes (Villejean-Churchill) -> Cesson-Sévigné (Base de Loisirs),Villejean-Churchill
57,Rennes (République) -> Saint-Jacques-de-la-Lande -> Bruz (Bruz Centre),République
59,Rennes (Henri Fréville) -> Bruz (Bruz Gare),Henri Fréville
61,Saint-Erblon (Parc d'Activités) -> Noyal-Châtillon-sur-Seiche -> Rennes (Henri Fréville),Parc d'Activités
